 #! Swift/XRT lightcurve of trigger: 31978, name: NGC 5408 X-1
 #! T0 for this burst is Swift MET=229462503.0 s, = 2008 Apr 09 at 19:35:00.294 UT
 #! Data covers 0.3-10 keV
 #! The data are in 5 columns:  ! time, time error (+ve), time error (-ve), source count-rate, source error
 #! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 #! For a detailed description of the file, see
 #! http://www.swift.ac.uk/xrt_curves/docs.php
 #! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00031978
#! PC data
#!Time    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg
18209.952	18000.000	-18000.000	6.956950e-02	7.320863e-03	-7.320863e-03
162209.952	18000.000	-18000.000	6.428207e-02	6.289643e-03	-6.289643e-03
522209.952	18000.000	-18000.000	6.093056e-02	6.070363e-03	-6.070363e-03
702209.952	18000.000	-18000.000	4.033861e-02	6.288073e-03	-6.288073e-03
738209.952	18000.000	-18000.000	6.405354e-02	1.238141e-02	-1.238141e-02
1134209.952	18000.000	-18000.000	4.879927e-02	5.692082e-03	-5.692082e-03
1314209.952	18000.000	-18000.000	6.157578e-02	5.644818e-03	-5.644818e-03
1494209.952	18000.000	-18000.000	5.655252e-02	5.250901e-02	-3.212183e-02
1674209.952	18000.000	-18000.000	7.206701e-02	6.250652e-03	-6.250652e-03
1926209.952	18000.000	-18000.000	5.512139e-02	5.815442e-03	-5.815442e-03
2322209.952	18000.000	-18000.000	6.843992e-02	6.796064e-03	-6.796064e-03
2538209.952	18000.000	-18000.000	6.267160e-02	5.808668e-03	-5.808668e-03
2934209.952	18000.000	-18000.000	5.811632e-02	7.463021e-03	-7.463021e-03
3186209.952	18000.000	-18000.000	7.229165e-02	6.588350e-03	-6.588350e-03
3762209.952	18000.000	-18000.000	5.987321e-02	6.075306e-03	-6.075306e-03
4122209.952	18000.000	-18000.000	5.580191e-02	9.548473e-03	-9.548473e-03
4158209.952	18000.000	-18000.000	4.011075e-02	1.254262e-02	-1.048065e-02
4338209.952	18000.000	-18000.000	5.489267e-02	7.518490e-03	-7.518490e-03
4374209.952	18000.000	-18000.000	5.395014e-02	1.153524e-02	-1.153524e-02
4734209.952	18000.000	-18000.000	6.860020e-02	6.470529e-03	-6.470529e-03
4986209.952	18000.000	-18000.000	7.175854e-02	7.104935e-03	-7.104935e-03
5346209.952	18000.000	-18000.000	5.337657e-02	1.169610e-02	-1.169610e-02
5634209.952	18000.000	-18000.000	7.357890e-02	1.001188e-02	-1.001188e-02
5922209.952	18000.000	-18000.000	7.500301e-02	6.760669e-03	-6.760669e-03
6174209.952	18000.000	-18000.000	8.328118e-02	6.602673e-03	-6.602673e-03
6210209.952	18000.000	-18000.000	6.846291e-02	6.198470e-03	-6.198470e-03
6534209.952	18000.000	-18000.000	8.082505e-02	6.081855e-03	-6.081855e-03
6570209.952	18000.000	-18000.000	8.518653e-02	1.641630e-02	-1.641630e-02
6786209.952	18000.000	-18000.000	9.224321e-02	7.030188e-03	-7.030188e-03
7146209.952	18000.000	-18000.000	7.188922e-02	1.217305e-02	-1.217305e-02
7182209.952	18000.000	-18000.000	8.498928e-02	8.705645e-03	-8.705645e-03
7290209.952	18000.000	-18000.000	9.706110e-02	8.406873e-03	-8.406873e-03
7326209.952	18000.000	-18000.000	7.818563e-02	1.342477e-02	-1.342477e-02
7722209.952	18000.000	-18000.000	9.178761e-02	8.012715e-03	-8.012715e-03
7974209.952	18000.000	-18000.000	9.464405e-02	6.946483e-03	-6.946483e-03
8298209.952	18000.000	-18000.000	5.500116e-02	1.072808e-02	-1.072808e-02
8334209.952	18000.000	-18000.000	3.994365e-02	5.815010e-03	-5.815010e-03
8622209.952	18000.000	-18000.000	1.025655e-01	7.183775e-03	-7.183775e-03
8910209.952	18000.000	-18000.000	1.130093e-01	8.995157e-03	-8.995157e-03
9234209.952	18000.000	-18000.000	7.502293e-02	7.603210e-03	-7.603210e-03
9594209.952	18000.000	-18000.000	8.546868e-02	7.300648e-03	-7.300648e-03
9810209.952	18000.000	-18000.000	7.716344e-02	7.728602e-03	-7.728602e-03
9846209.952	18000.000	-18000.000	7.763865e-02	1.161983e-02	-1.161983e-02
10170209.952	18000.000	-18000.000	8.915502e-02	7.273473e-03	-7.273473e-03
10530209.952	18000.000	-18000.000	8.200526e-02	6.002056e-03	-6.002056e-03
10566209.952	18000.000	-18000.000	8.277223e-02	6.372597e-03	-6.372597e-03
10782209.952	18000.000	-18000.000	7.180865e-02	1.152319e-02	-1.152319e-02
10818209.952	18000.000	-18000.000	7.046398e-02	6.980433e-03	-6.980433e-03
10998209.952	18000.000	-18000.000	6.426159e-02	8.639235e-03	-8.639235e-03
11034209.952	18000.000	-18000.000	8.048386e-02	8.554682e-03	-8.554682e-03
11394209.952	18000.000	-18000.000	7.103353e-02	7.292355e-03	-7.292355e-03
11430209.952	18000.000	-18000.000	9.223208e-02	1.191728e-02	-1.191728e-02
11646209.952	18000.000	-18000.000	7.974317e-02	6.829510e-03	-6.829510e-03
11934209.952	18000.000	-18000.000	9.661686e-02	1.354774e-02	-1.354774e-02
11970209.952	18000.000	-18000.000	8.199825e-02	7.914107e-03	-7.914107e-03
12186209.952	18000.000	-18000.000	3.112632e-02	1.142461e-02	-9.235885e-03
12222209.952	18000.000	-18000.000	2.893834e-02	4.943104e-03	-4.943104e-03
12546209.952	18000.000	-18000.000	1.007167e-01	6.002176e-03	-6.002176e-03
12942209.952	18000.000	-18000.000	2.413776e-02	1.188887e-02	-9.017124e-03
13158209.952	18000.000	-18000.000	8.149265e-02	6.896612e-03	-6.896612e-03
13410209.952	18000.000	-18000.000	1.680381e-02	3.436104e-03	-3.436104e-03
13842209.952	18000.000	-18000.000	1.923632e-02	3.943810e-03	-3.943810e-03
14058209.952	18000.000	-18000.000	1.304246e-02	3.624040e-03	-3.624040e-03
14382209.952	18000.000	-18000.000	9.534594e-02	7.364801e-03	-7.364801e-03
14634209.952	18000.000	-18000.000	1.142402e-01	7.255242e-03	-7.255242e-03
21690209.952	18000.000	-18000.000	6.410544e-02	5.584211e-03	-5.584211e-03
21942209.952	18000.000	-18000.000	7.721249e-02	6.276053e-03	-6.276053e-03
22302209.952	18000.000	-18000.000	7.379053e-02	6.430281e-03	-6.430281e-03
22554209.952	18000.000	-18000.000	7.012112e-02	5.688007e-03	-5.688007e-03
22842209.952	18000.000	-18000.000	6.894593e-02	5.553525e-03	-5.553525e-03
23094209.952	18000.000	-18000.000	7.544544e-02	8.024606e-03	-8.024606e-03
23418209.952	18000.000	-18000.000	7.052861e-02	1.086888e-02	-1.086888e-02
23454209.952	18000.000	-18000.000	5.914761e-02	7.194782e-03	-7.194782e-03
